,sf
13409,C42H76NO7P
13410,C42H78NO7P
13411,C44H80NO7P
13412,C44H82NO7P
13413,C46H84NO7P
13414,C46H86NO7P
13415,C30H50NO7P
13416,C30H52NO7P
13417,C28H48NO7P
13418,C32H54NO7P
13419,C32H56NO7P
13420,C26H46NO7P
13421,C26H48NO7P
13422,C24H48NO7P
13425,C30H54NO7P
13426,C34H58NO7P
13430,C26H50NO7P
13432,C32H58NO7P
13434,C24H46NO7P
13438,C22H44NO7P
13439,C10H22NO7P
13440,C12H26NO7P
13441,C18H38NO7P
13442,C30H62NO7P
13447,C34H70NO7P
13449,C14H30NO7P
13450,C27H56NO7P
13453,C16H34NO7P
13455,C65H105O13P
13456,C59H97O13P
13457,C55H93O13P
13458,C50H85O13P
13459,C63H101O13P
13460,C63H103O13P
13461,C57H93O13P
13462,C57H95O13P
13463,C57H97O13P
13465,C67H107O13P
13466,C67H109O13P
13467,C52H89O13P
13469,C65H107O13P
13470,C59H99O13P
13471,C59H101O13P
13472,C69H111O13P
13473,C54H93O13P
13475,C67H111O13P
13476,C61H105O13P
13477,C71H115O13P
13478,C69H113O13P
13479,C69H115O13P
13480,C63H109O13P
13481,C73H119O13P
13482,C71H117O13P
13483,C71H119O13P
13484,C73H121O13P
13485,C73H123O13P
13486,C75H125O13P
13487,C75H127O13P
13488,C59H91O13P
13489,C59H93O13P
13490,C57H89O13P
13491,C57H91O13P
13492,C61H95O13P
13493,C61H97O13P
13494,C55H87O13P
13495,C55H89O13P
13496,C53H89O13P
13499,C59H95O13P
13500,C63H99O13P
13504,C55H91O13P
13506,C61H99O13P
13508,C53H87O13P
13512,C51H85O13P
13513,C39H63O13P
13514,C41H67O13P
13515,C47H79O13P
13516,C59H103O13P
13517,C49H83O13P
13518,C57H99O13P
13519,C58H101O13P
13521,C63H111O13P
13522,C53H91O13P
13523,C43H71O13P
13524,C56H97O13P
13525,C65H115O13P
13526,C55H95O13P
13527,C45H75O13P
13528,C17H31O13P
13530,C40H65O13P
13531,C61H107O13P
13532,C51H87O13P
13533,C67H119O13P
13538,C50H87O13P
13540,C63H105O13P
13547,C52H91O13P
13549,C65H109O13P
13553,C54H95O13P
13556,C67H113O13P
13560,C69H117O13P
13564,C71H121O13P
13566,C33H61O13P
13567,C73H125O13P
13569,C75H129O13P
13578,C53H93O13P
13589,C61H101O13P
13591,C23H41O7P
13597,C39H65O13P
13598,C41H69O13P
13599,C47H81O13P
13600,C59H105O13P
13601,C49H85O13P
13602,C57H101O13P
13603,C58H103O13P
13605,C63H113O13P
13606,C43H73O13P
13607,C56H99O13P
13608,C65H117O13P
13609,C55H97O13P
13610,C45H77O13P
13612,C40H67O13P
13613,C61H109O13P
13614,C51H89O13P
13615,C67H121O13P
13619,C49H87O13P
13620,C44H79O13P
13625,C51H91O13P
13628,C61H103O13P
13629,C46H83O13P
13633,C53H95O13P
13635,C48H87O13P
13638,C55H99O13P
13640,C63H107O13P
13642,C57H103O13P
13644,C65H111O13P
13645,C65H113O13P
13647,C67H115O13P
13648,C67H117O13P
13649,C69H119O13P
13650,C69H121O13P
13651,C53H85O13P
13653,C51H83O13P
13657,C49H81O13P
13675,C33H57O13P
13676,C35H61O13P
13677,C41H73O13P
13678,C53H97O13P
13679,C43H77O13P
13680,C51H93O13P
13681,C52H95O13P
13683,C57H105O13P
13684,C47H85O13P
13685,C37H65O13P
13686,C50H91O13P
13687,C59H109O13P
13688,C49H89O13P
13689,C39H69O13P
13691,C34H59O13P
13692,C55H101O13P
13693,C45H81O13P
13694,C61H113O13P
13699,C40H75O13P
13704,C47H87O13P
13705,C45H83O13P
13708,C42H79O13P
13712,C49H91O13P
13714,C44H83O13P
13717,C51H95O13P
13719,C30H57O13P
13722,C53H99O13P
13748,C28H53O13P
13756,C41H75O13P
13757,C29H53O13P
13758,C31H57O13P
13759,C37H69O13P
13760,C49H93O13P
13761,C39H73O13P
13762,C47H89O13P
13763,C48H91O13P
13765,C53H101O13P
13766,C46H87O13P
13767,C55H105O13P
13768,C45H85O13P
13769,C35H65O13P
13771,C30H55O13P
13772,C51H97O13P
13773,C41H77O13P
13774,C57H109O13P
13780,C48H83O13P
13781,C48H85O13P
13782,C34H65O13P
13783,C42H75O13P
13784,C42H77O13P
13789,C37H71O13P
13791,C50H89O13P
13792,C44H81O13P
13795,C39H75O13P
13797,C52H93O13P
13801,C54H97O13P
13805,C56H101O13P
13807,C58H105O13P
13808,C60H107O13P
13809,C60H109O13P
13810,C44H73O13P
13811,C44H75O13P
13812,C42H71O13P
13813,C42H73O13P
13814,C46H77O13P
13815,C46H79O13P
13816,C40H69O13P
13817,C40H71O13P
13818,C38H71O13P
13821,C44H77O13P
13822,C48H81O13P
13826,C40H73O13P
13828,C27H51O13P
13829,C46H81O13P
13831,C38H69O13P
13835,C36H67O13P
13836,C24H45O13P
13837,C26H49O13P
13838,C32H61O13P
13839,C44H85O13P
13841,C42H81O13P
13844,C48H93O13P
13845,C38H73O13P
13847,C19H38NO7P
13849,C50H97O13P
13850,C40H77O13P
13853,C25H47O13P
13854,C46H89O13P
13855,C36H69O13P
13856,C52H101O13P
13857,C35H67O13P
13917,C37H61O13P
13928,C7H16NO7P
13934,C38H63O13P
13956,C9H20NO7P
13969,C15H32NO7P
13972,C71H123O13P
13974,C73H127O13P
14000,C37H63O13P
14001,C39H67O13P
14008,C61H111O13P
14011,C41H71O13P
14013,C63H115O13P
14015,C43H75O13P
14017,C38H65O13P
14018,C59H107O13P
14020,C65H119O13P
14055,C51H81O13P
14057,C49H79O13P
14061,C47H77O13P
14080,C31H53O13P
14095,C32H55O13P
14118,C46H85O13P
14158,C31H55O13P
14159,C33H59O13P
14160,C39H71O13P
14164,C50H93O13P
14166,C55H103O13P
14168,C35H63O13P
14169,C48H89O13P
14170,C57H107O13P
14172,C37H67O13P
14174,C32H57O13P
14177,C59H111O13P
14240,C28H51O13P
14243,C50H95O13P
14253,C32H59O13P
14256,C59H113O13P
14348,C17H36NO7P
14366,C75H123O13P
14371,C77H129O13P
14372,C77H131O13P
14386,C65H103O13P
14405,C60H105O13P
14415,C42H69O13P
14418,C69H123O13P
14453,C77H133O13P
14501,C69H125O13P
14535,C62H111O13P
14536,C62H113O13P
14561,C45H87O13P
14574,C54H105O13P
14692,C75H131O13P
14706,C29H55O13P
14734,C19H35O13P
14739,C67H123O13P
14805,C52H97O13P
14815,C34H61O13P
14818,C61H115O13P
14881,C52H99O13P
14891,C34H63O13P
14894,C61H117O13P
14924,C77H127O13P
14929,C79H133O13P
14930,C79H135O13P
14961,C62H109O13P
14974,C71H127O13P
15006,C64H115O13P
15007,C64H117O13P
15039,C47H91O13P
15052,C56H109O13P
15162,C14H25O13P
15169,C77H135O13P
15216,C69H127O13P
15250,C71H129O13P
15281,C54H103O13P
15292,C63H121O13P
15313,C64H113O13P
15322,C79H131O13P
15327,C81H137O13P
15328,C81H139O13P
15373,C73H131O13P
15408,C79H137O13P
15410,C31H64NO7P
15491,C79H139O13P
15538,C71H131O13P
15566,C71H125O13P
15568,C33H68NO7P
15573,C73H133O13P
15603,C56H107O13P
15615,C65H125O13P
15650,C83H141O13P
15651,C83H143O13P
15684,C66H117O13P
15698,C75H135O13P
15731,C81H141O13P
15812,C81H143O13P
15858,C73H135O13P
15894,C83H145O13P
15923,C66H119O13P
15936,C75H137O13P
15972,C83H147O13P
16005,C66H121O13P
16007,C33H51O13P
16019,C75H139O13P
16055,C85H149O13P
16086,C68H123O13P
16099,C77H141O13P
16106,C35H55O13P
16168,C68H125O13P
16182,C77H143O13P
16220,C53H81O13P
16221,C51H77O13P
16222,C51H79O13P
16223,C55H83O13P
16224,C55H85O13P
16225,C49H75O13P
16226,C49H77O13P
16230,C53H83O13P
16232,C57H87O13P
16240,C47H75O13P
16244,C45H73O13P
16252,C37H59O13P
16258,C34H53O13P
16284,C31H59O13P
16309,C21H39O13P
16324,C33H53O13P
16325,C35H57O13P
16341,C34H55O13P
16386,C47H73O13P
16405,C31H49O13P
16422,C32H51O13P
16457,C16H29O13P
16487,C31H51O13P
16488,C33H55O13P
16497,C35H59O13P
16503,C32H53O13P
16587,C36H57O13P
16629,C13H28NO7P
16670,C36H59O13P
16735,C29H47O13P
16752,C30H49O13P
16816,C29H49O13P
16833,C30H51O13P
16897,C27H49O13P
16958,C8H15O8P
16976,C8H18NO7P
17123,C27H45O7P
17144,C34H57O13P
17201,C33H63O8P
17226,C38H61O13P
17279,C29H55O8P
17334,C27H47O7P
17347,C19H35O7P
17431,C17H33O7P
17445,C29H51O13P
17461,C5H11O7P
17548,C30H53O13P
17565,C22H41O13P
17578,C28H49O13P
17617,C7H15O7P
17632,C13H27O7P
17698,C25H51O7P
17716,C36H61O13P
17728,C24H49O7P
17843,C29H59O7P
17861,C27H47O13P
17876,C9H19O7P
17949,C22H45O7P
18009,C31H63O7P
18072,C11H23O7P
18087,C18H37O7P
18181,C25H45O13P
18197,C26H47O13P
18231,C81H135O13P
18236,C85H147O13P
18237,C85H151O13P
18238,C53H79O13P
18245,C45H71O13P
18263,C13H23O13P
18266,C53H103O13P
18267,C33H63O13P
18268,C49H95O13P
18269,C51H99O13P
18271,C61H119O13P
18274,C65H127O13P
18278,C15H27O13P
18279,C57H111O13P
18281,C69H135O13P
18313,C27H55O7P
18347,C23H43O13P
18399,C33H67O7P
18436,C16H33O7P
18452,C16H35O6P
18517,C23H47O6P
18531,C21H43O6P
18562,C59H115O13P
18567,C55H107O13P
18597,C18H39O6P
18612,C25H51O6P
18727,C20H43O6P
18772,C21H41O6P
18805,C58H113O13P
18812,C60H117O13P
18915,C25H53O6P
18959,C23H49O6P
18965,C63H123O13P
19074,C29H61O6P
19124,C18H33O13P
19157,C19H41O6P
19285,C67H131O13P
19310,C19H40NO7P
19375,C31H65O6P
19441,C20H37O13P
19444,C21H45O6P
19542,C27H57O6P
19689,C17H37O6P
19769,C33H69O6P
19921,C31H51O7P
19922,C31H53O7P
19923,C25H45O7P
19926,C29H49O7P
19927,C29H51O7P
19929,C23H43O7P
19930,C23H45O7P
19932,C33H55O7P
19933,C33H57O7P
19936,C31H55O7P
19937,C25H47O7P
19938,C25H49O7P
19939,C35H59O7P
19942,C33H59O7P
19943,C27H53O7P
19944,C37H63O7P
19945,C35H61O7P
19946,C35H63O7P
19947,C29H57O7P
19948,C39H67O7P
19949,C37H65O7P
19950,C37H67O7P
19951,C39H69O7P
19952,C39H71O7P
19953,C41H73O7P
19954,C41H75O7P
19955,C25H39O7P
19956,C25H41O7P
19957,C23H37O7P
19958,C27H43O7P
19960,C21H35O7P
19964,C25H43O7P
19965,C29H47O7P
20035,C59H95O8P
20036,C53H87O8P
20037,C49H83O8P
20038,C44H75O8P
20039,C57H91O8P
20040,C57H93O8P
20041,C51H83O8P
20042,C51H85O8P
20043,C51H87O8P
20045,C61H97O8P
20046,C61H99O8P
20047,C46H79O8P
20049,C59H97O8P
20050,C53H89O8P
20051,C53H91O8P
20052,C63H101O8P
20053,C48H83O8P
20055,C61H101O8P
20056,C55H95O8P
20057,C65H105O8P
20058,C63H103O8P
20059,C63H105O8P
20060,C57H99O8P
20061,C67H109O8P
20063,C65H107O8P
20064,C65H109O8P
20065,C67H111O8P
20066,C67H113O8P
20067,C69H115O8P
20068,C69H117O8P
20069,C53H81O8P
20070,C53H83O8P
20071,C51H79O8P
20072,C51H81O8P
20073,C55H85O8P
20074,C55H87O8P
20075,C47H77O8P
20076,C49H77O8P
20077,C49H79O8P
20078,C47H79O8P
20081,C53H85O8P
20082,C57H89O8P
20086,C49H81O8P
20088,C55H89O8P
20093,C45H75O8P
20094,C33H53O8P
20095,C35H57O8P
20096,C41H69O8P
20097,C53H93O8P
20098,C43H73O8P
20099,C51H89O8P
20100,C52H91O8P
20102,C57H101O8P
20103,C47H81O8P
20104,C37H61O8P
20105,C50H87O8P
20106,C59H105O8P
20107,C49H85O8P
20108,C39H65O8P
20110,C34H55O8P
20111,C55H97O8P
20112,C45H77O8P
20113,C61H109O8P
20118,C44H77O8P
20120,C57H95O8P
20127,C46H81O8P
20129,C59H99O8P
20133,C48H85O8P
20136,C61H103O8P
20140,C63H107O8P
20144,C65H111O8P
20146,C67H115O8P
20148,C69H119O8P
20167,C55H91O8P
20174,C33H55O8P
20175,C35H59O8P
20177,C53H95O8P
20178,C37H67O8P
20179,C43H75O8P
20180,C51H91O8P
20181,C52H93O8P
20183,C57H103O8P
20184,C47H83O8P
20185,C37H63O8P
20186,C50H89O8P
20187,C59H107O8P
20188,C49H87O8P
20189,C39H67O8P
20191,C34H57O8P
20192,C55H99O8P
20193,C45H79O8P
20194,C61H111O8P
20198,C43H77O8P
20199,C38H69O8P
20204,C45H81O8P
20207,C55H93O8P
20208,C40H73O8P
20212,C47H85O8P
20214,C42H77O8P
20217,C49H89O8P
20219,C57H97O8P
20221,C51H93O8P
20223,C59H101O8P
20224,C59H103O8P
20225,C61H105O8P
20226,C61H107O8P
20227,C63H109O8P
20228,C63H111O8P
20229,C47H75O8P
20231,C45H73O8P
20235,C43H71O8P
20254,C27H47O8P
20255,C29H51O8P
20256,C35H63O8P
20257,C47H87O8P
20258,C45H83O8P
20259,C46H85O8P
20261,C51H95O8P
20262,C41H75O8P
20263,C31H55O8P
20264,C44H81O8P
20265,C53H99O8P
20266,C43H79O8P
20267,C33H59O8P
20269,C28H49O8P
20270,C49H91O8P
20272,C55H103O8P
20277,C34H65O8P
20282,C41H77O8P
20290,C43H81O8P
20296,C45H85O8P
20300,C47H89O8P
20333,C35H65O8P
20334,C23H43O8P
20336,C31H59O8P
20337,C43H83O8P
20340,C42H81O8P
20342,C47H91O8P
20344,C27H51O8P
20346,C49H95O8P
20348,C45H87O8P
20350,C51H99O8P
20356,C42H73O8P
20357,C42H75O8P
20358,C36H65O8P
20359,C36H67O8P
20366,C44H79O8P
20367,C38H71O8P
20372,C46H83O8P
20376,C48H87O8P
20380,C50H91O8P
20382,C52H95O8P
20383,C54H97O8P
20384,C54H99O8P
20385,C38H63O8P
20386,C38H65O8P
20387,C36H61O8P
20388,C36H63O8P
20389,C40H67O8P
20390,C40H69O8P
20391,C34H59O8P
20392,C34H61O8P
20393,C32H61O8P
20396,C38H67O8P
20397,C42H71O8P
20401,C34H63O8P
20403,C40H71O8P
20405,C32H59O8P
20409,C30H57O8P
20410,C18H35O8P
20411,C20H39O8P
20412,C26H51O8P
20413,C38H75O8P
20415,C36H71O8P
20418,C42H83O8P
20420,C22H43O8P
20422,C44H87O8P
20423,C34H67O8P
20424,C40H79O8P
20426,C46H91O8P
20427,C29H57O8P
20487,C31H51O8P
20504,C32H53O8P
20539,C65H113O8P
20541,C67H117O8P
20569,C31H53O8P
20570,C33H57O8P
20578,C55H101O8P
20580,C35H61O8P
20582,C57H105O8P
20584,C37H65O8P
20586,C32H55O8P
20587,C53H97O8P
20589,C59H109O8P
20624,C45H71O8P
20630,C41H67O8P
20649,C25H43O8P
20664,C26H45O8P
20687,C40H75O8P
20728,C25H45O8P
20729,C27H49O8P
20730,C33H61O8P
20734,C44H83O8P
20736,C49H93O8P
20738,C29H53O8P
20739,C42H79O8P
20740,C51H97O8P
20742,C31H57O8P
20744,C26H47O8P
20747,C53H101O8P
20814,C44H85O8P
20821,C26H49O8P
20824,C53H103O8P
20931,C69H113O8P
20936,C71H119O8P
20937,C71H121O8P
20950,C59H93O8P
20969,C54H95O8P
20980,C36H59O8P
20983,C63H113O8P
21017,C71H123O8P
21063,C63H115O8P
21095,C56H101O8P
21096,C56H103O8P
21128,C39H77O8P
21138,C21H41O8P
21141,C48H95O8P
21197,C22H41O8P
21214,C43H85O8P
21257,C69H121O8P
21303,C61H113O8P
21369,C46H87O8P
21378,C28H51O8P
21381,C55H105O8P
21445,C46H89O8P
21455,C28H53O8P
21458,C55H107O8P
21487,C71H117O8P
21492,C73H123O8P
21493,C73H125O8P
21526,C56H99O8P
21540,C65H117O8P
21573,C58H105O8P
21574,C58H107O8P
21605,C41H81O8P
21618,C50H99O8P
21637,C45H89O8P
21733,C71H125O8P
21780,C63H117O8P
21815,C65H119O8P
21848,C48H93O8P
21860,C57H111O8P
21890,C73H121O8P
21895,C75H127O8P
21896,C75H129O8P
21930,C58H103O8P
21943,C67H121O8P
21978,C73H127O8P
22060,C73H129O8P
22105,C65H121O8P
22134,C65H115O8P
22141,C67H123O8P
22169,C50H97O8P
22182,C59H115O8P
22217,C77H131O8P
22218,C77H133O8P
22250,C60H107O8P
22263,C69H125O8P
22298,C75H131O8P
22378,C75H133O8P
22425,C67H125O8P
22461,C77H135O8P
22481,C13H25O8P
22495,C60H109O8P
22508,C69H127O8P
22542,C77H137O8P
22574,C60H111O8P
22587,C69H129O8P
22623,C79H139O8P
22655,C62H113O8P
22668,C71H131O8P
22736,C62H115O8P
22749,C71H133O8P
22788,C47H71O8P
22789,C45H67O8P
22790,C45H69O8P
22791,C49H73O8P
22792,C49H75O8P
22793,C43H65O8P
22794,C43H67O8P
22795,C15H29O8P
22799,C47H73O8P
22800,C51H77O8P
22808,C41H65O8P
22813,C39H63O8P
22814,C27H41O8P
22815,C29H45O8P
22824,C31H49O8P
22830,C28H43O8P
22896,C27H43O8P
22897,C29H47O8P
22912,C28H45O8P
22918,C10H19O8P
22957,C41H63O8P
22977,C25H39O8P
22992,C26H41O8P
23054,C25H41O8P
23055,C27H45O8P
23063,C29H49O8P
23069,C26H43O8P
23151,C30H47O8P
23232,C30H49O8P
23297,C23H37O8P
23311,C24H39O8P
23376,C23H39O8P
23389,C24H41O8P
23450,C21H39O8P
23695,C28H47O8P
23777,C32H51O8P
23787,C17H33O8P
24080,C23H41O8P
24096,C24H43O8P
24256,C30H51O8P
24398,C21H37O8P
24413,C22H39O8P
24701,C19H35O8P
24716,C20H37O8P
24748,C75H125O8P
24753,C79H137O8P
24754,C79H141O8P
24755,C47H69O8P
24760,C39H61O8P
24778,C7H13O8P
24779,C11H21O8P
24781,C47H93O8P
24783,C55H109O8P
24786,C59H117O8P
24790,C9H17O8P
24791,C51H101O8P
24793,C63H125O8P
24996,C16H31O8P
25071,C53H105O8P
25076,C49H97O8P
25305,C52H103O8P
25312,C54H107O8P
25389,C12H23O8P
25463,C57H113O8P
25778,C61H121O8P
25926,C14H27O8P
26402,C49H88NO7P
26403,C49H90NO7P
26404,C43H82NO7P
26405,C39H78NO7P
26407,C47H86NO7P
26408,C47H88NO7P
26409,C41H78NO7P
26410,C41H80NO7P
26411,C41H82NO7P
26413,C51H92NO7P
26414,C51H94NO7P
26417,C49H92NO7P
26418,C43H84NO7P
26419,C43H86NO7P
26420,C53H96NO7P
26423,C51H96NO7P
26424,C45H90NO7P
26425,C55H100NO7P
26426,C53H98NO7P
26427,C53H100NO7P
26428,C47H94NO7P
26429,C57H104NO7P
26430,C55H102NO7P
26431,C55H104NO7P
26432,C57H106NO7P
26433,C57H108NO7P
26434,C59H110NO7P
26435,C59H112NO7P
26436,C43H76NO7P
26437,C43H78NO7P
26438,C41H74NO7P
26439,C41H76NO7P
26440,C45H80NO7P
26441,C45H82NO7P
26442,C39H72NO7P
26443,C39H74NO7P
26444,C37H74NO7P
26447,C43H80NO7P
26448,C47H84NO7P
26452,C39H76NO7P
26454,C45H84NO7P
26456,C37H72NO7P
26460,C35H70NO7P
26464,C43H88NO7P
26466,C41H84NO7P
26469,C47H96NO7P
26470,C37H76NO7P
26473,C49H100NO7P
26474,C39H80NO7P
26477,C45H92NO7P
26478,C35H72NO7P
26479,C51H104NO7P
26481,C56H100NO7P
26482,C56H102NO7P
26483,C50H94NO7P
26484,C46H90NO7P
26486,C54H98NO7P
26487,C54H100NO7P
26488,C48H90NO7P
26489,C48H92NO7P
26490,C48H94NO7P
26492,C58H104NO7P
26493,C58H106NO7P
26496,C56H104NO7P
26497,C50H96NO7P
26498,C50H98NO7P
26499,C60H108NO7P
26502,C58H108NO7P
26503,C52H102NO7P
26504,C62H112NO7P
26505,C60H110NO7P
26506,C60H112NO7P
26507,C54H106NO7P
26508,C64H116NO7P
26509,C62H114NO7P
26511,C62H116NO7P
26512,C64H118NO7P
26513,C64H120NO7P
26514,C66H122NO7P
26515,C66H124NO7P
26516,C50H88NO7P
26517,C50H90NO7P
26518,C48H86NO7P
26519,C48H88NO7P
26520,C52H92NO7P
26521,C52H94NO7P
26524,C44H86NO7P
26527,C50H92NO7P
26528,C54H96NO7P
26532,C46H88NO7P
26534,C52H96NO7P
26536,C44H84NO7P
26540,C42H82NO7P
26543,C38H76NO7P
26544,C50H100NO7P
26546,C40H80NO7P
26547,C48H96NO7P
26548,C49H98NO7P
26550,C54H108NO7P
26551,C44H88NO7P
26554,C56H112NO7P
26555,C46H92NO7P
26556,C36H72NO7P
26558,C31H62NO7P
26559,C52H104NO7P
26560,C42H84NO7P
26561,C58H116NO7P
26598,C48H84NO7P
26600,C46H82NO7P
26619,C42H80NO7P
26623,C40H78NO7P
26637,C29H58NO7P
26644,C45H86NO7P
26658,C45H88NO7P
26669,C59H108NO7P
26674,C61H114NO7P
26675,C61H116NO7P
26707,C44H90NO7P
26721,C53H108NO7P
26725,C52H98NO7P
26739,C52H100NO7P
26749,C56H110NO7P
26750,C66H120NO7P
26755,C68H126NO7P
26756,C68H128NO7P
26788,C51H102NO7P
26798,C33H66NO7P
26801,C60H120NO7P
26885,C47H90NO7P
26899,C47H92NO7P
26910,C61H112NO7P
26915,C63H118NO7P
26916,C63H120NO7P
26948,C46H94NO7P
26961,C55H112NO7P
26963,C16H31O10P
26964,C54H94NO7P
26975,C56H98NO7P
26982,C58H102NO7P
26987,C60H106NO7P
26991,C62H110NO7P
26999,C48H82NO7P
27001,C46H80NO7P
27003,C50H86NO7P
27011,C52H90NO7P
27023,C40H76NO7P
27026,C36H70NO7P
27028,C38H74NO7P
27033,C32H62NO7P
27037,C34H66NO7P
27039,C29H56NO7P
27101,C22H43O10P
27132,C56H106NO7P
27141,C58H110NO7P
27147,C60H114NO7P
27151,C62H118NO7P
27155,C64H122NO7P
27157,C66H126NO7P
27159,C68H130NO7P
27178,C54H102NO7P
27188,C52H106NO7P
27190,C50H102NO7P
27193,C56H114NO7P
27195,C58H118NO7P
27196,C48H98NO7P
27200,C54H110NO7P
27202,C60H122NO7P
27286,C56H108NO7P
27291,C54H104NO7P
27311,C70H130NO7P
27314,C70H132NO7P
27315,C70H134NO7P
27316,C72H136NO7P
27317,C72H138NO7P
27355,C62H126NO7P
27362,C64H130NO7P
27443,C58H112NO7P
27457,C58H114NO7P
27465,C13H25O12P
27468,C62H124NO7P
27469,C72H134NO7P
27474,C74H140NO7P
27475,C74H142NO7P
27507,C57H116NO7P
27520,C66H134NO7P
27762,C60H116NO7P
27776,C60H118NO7P
27786,C64H128NO7P
27787,C74H138NO7P
27792,C76H144NO7P
27793,C76H146NO7P
27826,C59H120NO7P
27839,C68H138NO7P
27847,C38H72NO7P
27881,C36H68NO7P
27921,C53H94NO7P
27932,C55H98NO7P
27938,C57H102NO7P
27942,C49H96NO7P
27943,C59H106NO7P
27946,C51H100NO7P
27947,C61H110NO7P
27952,C63H116NO7P
27954,C47H82NO7P
27958,C49H86NO7P
27966,C51H90NO7P
27979,C27H54NO7P
27991,C53H106NO7P
27998,C55H110NO7P
28034,C45H78NO7P
28059,C25H50NO7P
28176,C49H94NO7P
28186,C53H104NO7P
28187,C63H114NO7P
28192,C65H120NO7P
28193,C65H122NO7P
28239,C57H114NO7P
28401,C51H88NO7P
28412,C53H92NO7P
28420,C55H96NO7P
28425,C57H100NO7P
28429,C59H104NO7P
28437,C45H76NO7P
28439,C43H74NO7P
28441,C47H80NO7P
28443,C41H72NO7P
28450,C49H84NO7P
28462,C37H70NO7P
28463,C25H48NO7P
28464,C27H52NO7P
28465,C33H64NO7P
28467,C35H68NO7P
28475,C31H60NO7P
28595,C65H124NO7P
28725,C53H102NO7P
28730,C51H98NO7P
28750,C67H124NO7P
28754,C67H126NO7P
28755,C67H128NO7P
28756,C69H130NO7P
28757,C69H132NO7P
28801,C61H124NO7P
28886,C55H106NO7P
28901,C55H108NO7P
28911,C59H118NO7P
28912,C69H128NO7P
28917,C71H134NO7P
28918,C71H136NO7P
28964,C63H128NO7P
29132,C24H48NO9P
29164,C39H70NO7P
29168,C37H68NO7P
29185,C14H28NO9P
29209,C9H18NO9P
29212,C57H110NO7P
29226,C57H112NO7P
29236,C61H122NO7P
29237,C71H132NO7P
29242,C73H138NO7P
29243,C73H140NO7P
29288,C65H132NO7P
29290,C34H56NO9P
29291,C34H58NO9P
29293,C19H38NO9P
29294,C32H54NO9P
29295,C32H56NO9P
29296,C26H46NO9P
29297,C26H48NO9P
29298,C26H50NO9P
29300,C36H60NO9P
29301,C36H62NO9P
29302,C21H42NO9P
29304,C34H60NO9P
29305,C28H54NO9P
29306,C38H64NO9P
29307,C23H46NO9P
29309,C36H64NO9P
29310,C30H58NO9P
29311,C40H68NO9P
29312,C38H66NO9P
29313,C30H60NO9P
29314,C38H68NO9P
29315,C32H62NO9P
29316,C42H72NO9P
29317,C40H70NO9P
29318,C40H72NO9P
29319,C42H74NO9P
29320,C42H76NO9P
29321,C44H78NO9P
29322,C44H80NO9P
29323,C28H44NO9P
29324,C28H46NO9P
29325,C26H42NO9P
29326,C26H44NO9P
29327,C30H48NO9P
29328,C30H50NO9P
29329,C24H40NO9P
29330,C24H42NO9P
29331,C22H42NO9P
29334,C28H48NO9P
29335,C32H52NO9P
29339,C24H44NO9P
29341,C30H52NO9P
29343,C22H40NO9P
29346,C8H16NO9P
29347,C10H20NO9P
29348,C16H32NO9P
29349,C28H56NO9P
29350,C18H36NO9P
29351,C26H52NO9P
29352,C32H64NO9P
29353,C22H44NO9P
29354,C12H24NO9P
29355,C34H68NO9P
29356,C36H72NO9P
29357,C28H50NO9P
29358,C28H52NO9P
29359,C20H38NO9P
29360,C27H54NO9P
29362,C25H50NO9P
29365,C33H56NO7P
29366,C33H58NO7P
29367,C27H50NO7P
29370,C31H54NO7P
29371,C31H56NO7P
29372,C25H46NO7P
29376,C35H60NO7P
29377,C35H62NO7P
29380,C33H60NO7P
29383,C37H64NO7P
29386,C35H64NO7P
29388,C39H68NO7P
29389,C37H66NO7P
29398,C23H44NO7P
29400,C27H44NO7P
29401,C27H46NO7P
29402,C25H42NO7P
29403,C25H44NO7P
29404,C29H48NO7P
29405,C29H50NO7P
29406,C23H40NO7P
29407,C23H42NO7P
29411,C27H48NO7P
29412,C31H52NO7P
29418,C29H52NO7P
29422,C61H100NO8P
29423,C55H92NO8P
29424,C51H88NO8P
29426,C59H96NO8P
29427,C59H98NO8P
29428,C53H88NO8P
29429,C53H90NO8P
29430,C53H92NO8P
29432,C63H102NO8P
29433,C63H104NO8P
29436,C61H102NO8P
29437,C55H94NO8P
29438,C55H96NO8P
29439,C65H106NO8P
29442,C63H106NO8P
29443,C57H100NO8P
29444,C67H110NO8P
29445,C65H108NO8P
29446,C65H110NO8P
29447,C59H104NO8P
29448,C69H114NO8P
29449,C67H112NO8P
29450,C67H114NO8P
29451,C69H116NO8P
29452,C69H118NO8P
29453,C71H120NO8P
29454,C71H122NO8P
29455,C55H86NO8P
29456,C55H88NO8P
29457,C53H84NO8P
29458,C53H86NO8P
29459,C57H90NO8P
29461,C57H92NO8P
29462,C51H82NO8P
29463,C51H84NO8P
29464,C49H84NO8P
29467,C55H90NO8P
29468,C59H94NO8P
29472,C51H86NO8P
29475,C57H94NO8P
29477,C49H82NO8P
29481,C47H80NO8P
29508,C59H100NO8P
29517,C61H104NO8P
29523,C63H108NO8P
29527,C65H112NO8P
29531,C67H116NO8P
29533,C69H120NO8P
29535,C71H124NO8P
29554,C57H96NO8P
29593,C57H98NO8P
29605,C59H102NO8P
29609,C61H106NO8P
29610,C61H108NO8P
29611,C63H110NO8P
